mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,risk_score,reasons
daytrade,6456,GIS-KY,TSE,A,80.8,71.2,72.98,70.77,71200.0,1547.0,658.0,2.35,6.11,2.98,3.04,0.14,7449,525132700.0,16,13,10,5,"above_open,near_day_high,strong_momentum"
daytrade,6282,康舒,TSE,B,78.1,59.8,61.29,59.44,59800.0,1295.0,551.0,2.35,2.57,1.54,1.01,0.167,32119,1945780600.0,18,9,10,5,above_open
daytrade,8070,長華*,TSE,B,78.1,57.2,58.63,56.86,57200.0,1243.0,523.0,2.38,2.14,1.79,0.35,0.175,12100,710869600.0,18,9,10,5,above_open
daytrade,8926,台汽電,TSE,B,78.1,81.0,83.02,80.51,81000.0,1755.0,749.0,2.34,8.0,2.27,5.61,0.123,12735,1004262500.0,18,13,8,3,"above_open,near_day_high,strong_momentum"
daytrade,5309,系統電,OTC,B,78.1,68.9,70.62,68.49,68900.0,1495.0,630.0,2.37,6.0,2.77,3.14,0.145,14233,986143200.0,18,13,8,3,"above_open,strong_momentum"
daytrade,1504,東元,TSE,B,75.3,73.1,74.93,72.66,73100.0,1591.0,674.0,2.36,4.43,1.14,3.25,0.137,28447,2090616200.0,18,11,8,3,"above_open,strong_momentum"
daytrade,1514,亞力,TSE,B,75.3,126.5,129.66,125.74,126500.0,2746.0,1164.0,2.36,2.85,1.22,1.61,0.395,14891,1901306000.0,17,9,9,5,above_open
daytrade,2637,慧洋-KY,TSE,B,75.3,78.4,80.36,77.93,78400.0,1704.0,721.0,2.36,5.52,3.5,1.95,0.128,3794,295619900.0,12,13,10,5,"above_open,near_day_high,strong_momentum"
daytrade,3004,豐達科,TSE,B,75.3,159.5,163.49,158.54,159500.0,3469.0,1470.0,2.36,6.33,4.67,1.59,0.313,4296,683212000.0,13,13,9,5,"above_open,strong_momentum"
daytrade,3714,富采,TSE,B,75.3,64.1,65.7,63.72,64100.0,1390.0,585.0,2.38,2.89,2.09,0.79,0.156,6334,407386300.0,14,11,10,5,above_open
daytrade,1711,永光,TSE,B,74.0,47.35,48.53,47.07,47350.0,1025.0,431.0,2.38,3.61,1.31,2.27,0.106,18681,899980550.0,18,10,8,3,above_open
daytrade,2542,興富發,TSE,B,74.0,45.0,46.12,44.73,45000.0,973.0,414.0,2.35,3.09,0.34,2.74,0.222,13061,582491600.0,17,8,9,5,"above_open,near_day_high"
daytrade,2890,永豐金,TSE,B,74.0,41.0,42.02,40.75,41000.0,886.0,381.0,2.33,3.27,0.88,2.37,0.244,35707,1456283200.0,17,8,9,5,"above_open,near_day_high"
daytrade,6202,盛群,TSE,B,74.0,69.1,70.83,68.69,69100.0,1504.0,631.0,2.38,3.13,1.94,1.17,0.145,10034,704561200.0,18,10,8,3,above_open
daytrade,1216,統一,TSE,B,72.6,77.8,79.74,77.33,77800.0,1686.0,719.0,2.35,1.97,0.13,1.83,0.129,22422,1744276800.0,18,5,10,5,above_open
daytrade,1717,長興,TSE,B,72.6,85.4,87.53,84.89,85400.0,1851.0,783.0,2.36,4.66,0.98,3.64,0.117,102492,8745238200.0,18,9,8,3,"above_open,strong_momentum"
daytrade,2436,偉詮電,TSE,B,72.6,77.7,79.64,77.23,77700.0,1686.0,718.0,2.35,2.37,0.66,1.7,0.129,8478,662926100.0,16,7,10,5,above_open
daytrade,3481,群創,TSE,B,72.6,69.2,70.93,68.78,69200.0,1504.0,641.0,2.35,4.85,0.91,3.9,0.145,517136,35565463900.0,18,9,8,3,"above_open,near_day_high,strong_momentum"
daytrade,2329,華泰,TSE,B,71.2,54.6,55.96,54.27,54600.0,1182.0,504.0,2.34,3.02,1.13,1.87,0.183,9746,539178800.0,16,10,8,3,above_open
