mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,risk_score,reasons
overnight,6456,GIS-KY,TSE,A,80.0,71.2,74.76,70.13,71200.0,3211.0,1401.0,2.29,6.11,2.98,3.04,0.14,7449,525132700.0,16,13,20,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,daily_close_near_high"
overnight,8926,台汽電,TSE,A,80.0,81.0,85.05,79.78,81000.0,3653.0,1597.0,2.29,8.0,2.27,5.61,0.123,12735,1004262500.0,18,13,20,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,volume_expansion,daily_close_near_high"
overnight,5309,系統電,OTC,A,80.0,68.9,72.35,67.87,68900.0,3112.0,1351.0,2.3,6.0,2.77,3.14,0.145,14233,986143200.0,18,13,20,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,6282,康舒,TSE,B,77.5,59.8,62.79,58.9,59800.0,2697.0,1178.0,2.29,2.57,1.54,1.01,0.167,32119,1945780600.0,18,9,20,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,8070,長華*,TSE,B,77.5,57.2,60.06,56.34,57200.0,2580.0,1126.0,2.29,2.14,1.79,0.35,0.175,12100,710869600.0,18,9,20,5,"above_open,above_ma5,above_ma10,volume_expansion"
overnight,1504,東元,TSE,B,76.2,73.1,76.75,72.0,73100.0,3292.0,1440.0,2.29,4.43,1.14,3.25,0.137,28447,2090616200.0,18,11,19,3,"above_open,strong_momentum,above_ma5,above_ma10,volume_expansion"
overnight,1514,亞力,TSE,B,76.2,126.5,132.83,124.6,126500.0,5710.0,2488.0,2.29,2.85,1.22,1.61,0.395,14891,1901306000.0,17,9,20,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,3004,豐達科,TSE,B,76.2,159.5,167.47,157.11,159500.0,7188.0,3132.0,2.3,6.33,4.67,1.59,0.313,4296,683212000.0,13,13,20,5,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,3265,台星科,OTC,B,76.2,192.5,202.12,189.61,192500.0,8676.0,3786.0,2.29,4.05,3.51,0.52,0.26,2667,521508000.0,13,13,20,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,1711,永光,TSE,B,75.0,47.35,49.72,46.64,47350.0,2138.0,930.0,2.3,3.61,1.31,2.27,0.106,18681,899980550.0,18,10,19,3,"above_open,above_ma5,above_ma10,volume_expansion"
overnight,1717,長興,TSE,B,75.0,85.4,89.67,84.12,85400.0,3851.0,1677.0,2.3,4.66,0.98,3.64,0.117,102492,8745238200.0,18,9,20,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,2354,鴻準,TSE,B,75.0,58.4,61.32,57.52,58400.0,2634.0,1152.0,2.29,5.04,5.4,-0.34,0.171,16727,990741200.0,18,10,17,5,"strong_momentum,above_ma5,above_ma10,volume_expansion"
overnight,2542,興富發,TSE,B,75.0,45.0,47.25,44.33,45000.0,2029.0,879.0,2.31,3.09,0.34,2.74,0.222,13061,582491600.0,17,8,20,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,2637,慧洋-KY,TSE,B,75.0,78.4,82.32,77.22,78400.0,3536.0,1545.0,2.29,5.52,3.5,1.95,0.128,3794,295619900.0,12,13,20,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,volume_expansion,daily_close_near_high"
overnight,2890,永豐金,TSE,B,75.0,41.0,43.05,40.38,41000.0,1849.0,811.0,2.28,3.27,0.88,2.37,0.244,35707,1456283200.0,17,8,20,5,"above_open,near_day_high,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,3481,群創,TSE,B,75.0,69.2,72.66,68.16,69200.0,3121.0,1362.0,2.29,4.85,0.91,3.9,0.145,517136,35565463900.0,18,9,20,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,daily_close_near_high"
overnight,6202,盛群,TSE,B,75.0,69.1,72.55,68.06,69100.0,3111.0,1361.0,2.29,3.13,1.94,1.17,0.145,10034,704561200.0,18,10,19,3,"above_open,above_ma5,above_ma10,volume_expansion"
overnight,2312,金寶,TSE,B,73.8,35.55,37.33,35.02,35550.0,1606.0,695.0,2.31,2.01,1.0,0.99,0.141,21661,773214100.0,18,9,17,5,"above_open,above_ma5,above_ma10"
overnight,2324,仁寶,TSE,B,73.8,35.7,37.49,35.16,35700.0,1615.0,706.0,2.29,2.15,1.14,0.99,0.14,54537,1960264550.0,18,9,17,5,"above_open,above_ma5,above_ma10"
overnight,4743,合一,OTC,B,73.8,59.7,62.69,58.8,59700.0,2697.0,1178.0,2.29,4.19,6.28,-1.97,0.168,16579,1024579400.0,18,10,18,3,"strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,8096,擎亞,OTC,B,73.8,167.5,175.88,164.99,167500.0,7559.0,3289.0,2.3,6.35,2.22,4.04,0.299,3875,633191000.0,13,13,20,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,1216,統一,TSE,B,72.5,77.8,81.69,76.63,77800.0,3509.0,1532.0,2.29,1.97,0.13,1.83,0.129,22422,1744276800.0,18,5,20,5,"above_open,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,2329,華泰,TSE,B,72.5,54.6,57.33,53.78,54600.0,2462.0,1074.0,2.29,3.02,1.13,1.87,0.183,9746,539178800.0,16,10,19,3,"above_open,above_ma5,above_ma10,volume_expansion"
overnight,2436,偉詮電,TSE,B,72.5,77.7,81.59,76.53,77700.0,3509.0,1531.0,2.29,2.37,0.66,1.7,0.129,8478,662926100.0,16,7,20,5,"above_open,above_ma5,above_ma10,volume_expansion"
overnight,6477,安集,TSE,B,72.5,39.05,41.0,38.46,39050.0,1759.0,772.0,2.28,5.83,1.63,4.13,0.128,6913,265485050.0,14,11,20,3,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
