mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,risk_score,reasons
weekly,5309,系統電,OTC,B,78.8,68.9,74.41,66.83,68900.0,5164.0,2387.0,2.16,6.0,2.77,3.14,0.145,14233,986143200.0,18,13,19,3,"above_open,strong_momentum,short_trend_up,five_day_price_up,above_ma20"
weekly,6282,康舒,TSE,B,77.5,59.8,64.58,58.01,59800.0,4480.0,2065.0,2.17,2.57,1.54,1.01,0.167,32119,1945780600.0,18,9,20,5,"above_open,short_trend_up,five_day_price_up,above_ma20"
weekly,1514,亞力,TSE,B,76.2,126.5,136.62,122.7,126500.0,9485.0,4381.0,2.16,2.85,1.22,1.61,0.395,14891,1901306000.0,17,9,20,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,3004,豐達科,TSE,B,76.2,159.5,172.26,154.72,159500.0,11960.0,5513.0,2.17,6.33,4.67,1.59,0.313,4296,683212000.0,13,13,20,5,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,3265,台星科,OTC,B,76.2,192.5,207.9,186.72,192500.0,14434.0,6664.0,2.17,4.05,3.51,0.52,0.26,2667,521508000.0,13,13,20,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,4707,磐亞,OTC,B,76.2,35.75,38.61,34.68,35750.0,2681.0,1234.0,2.17,5.77,9.91,-3.77,0.14,14515,530089850.0,18,10,20,3,"strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,4743,合一,OTC,B,76.2,59.7,64.48,57.91,59700.0,4480.0,2064.0,2.17,4.19,6.28,-1.97,0.168,16579,1024579400.0,18,10,20,3,"strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,1717,長興,TSE,B,75.0,85.4,92.23,82.84,85400.0,6401.0,2952.0,2.17,4.66,0.98,3.64,0.117,102492,8745238200.0,18,9,20,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2542,興富發,TSE,B,75.0,45.0,48.6,43.65,45000.0,3374.0,1557.0,2.17,3.09,0.34,2.74,0.222,13061,582491600.0,17,8,20,5,"above_open,near_day_high,short_trend_up,five_day_price_up,above_ma20"
weekly,2609,陽明,TSE,B,75.0,53.0,57.24,51.41,53000.0,3974.0,1834.0,2.17,1.15,1.15,0.0,0.189,19224,1020784500.0,18,7,20,5,"short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,2890,永豐金,TSE,B,75.0,41.0,44.28,39.77,41000.0,3074.0,1418.0,2.17,3.27,0.88,2.37,0.244,35707,1456283200.0,17,8,20,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,3481,群創,TSE,B,75.0,69.2,74.74,67.12,69200.0,5193.0,2398.0,2.17,4.85,0.91,3.9,0.145,517136,35565463900.0,18,9,20,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6505,台塑化,TSE,B,75.0,59.5,64.26,57.71,59500.0,4461.0,2063.0,2.16,1.02,1.02,0.0,0.168,18491,1107933200.0,18,7,20,5,"short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,6548,長科*,OTC,B,73.8,94.2,101.74,91.37,94200.0,7067.0,3263.0,2.17,2.84,5.46,-2.48,0.106,24369,2389392400.0,18,8,20,3,"short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
