mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
overnight,5388,中磊,TSE,A,91.2,83.4,87.57,82.15,83400.0,3761.0,1638.0,2.3,2.46,5.41,-2.8,0.12,12280,1048273300.0,18,8,20,12,5,"theme:hot_networking_optical,hot_theme,theme_strong_peers,theme_volume,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,2882,國泰金,TSE,A,90.0,97.0,101.85,95.55,97000.0,4374.0,1901.0,2.3,3.85,0.64,3.19,0.206,44871,4322351800.0,17,8,16,16,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
overnight,2885,元大金,TSE,A,90.0,69.8,73.29,68.75,69800.0,3148.0,1375.0,2.29,2.05,-0.29,2.35,0.143,36006,2527019500.0,18,3,20,16,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up,above_ma5"
overnight,5351,鈺創,OTC,A,88.8,93.1,97.75,91.7,93100.0,4194.0,1833.0,2.29,3.56,1.78,1.75,0.107,60534,5698516100.0,18,10,19,11,3,"above_open,theme:hot_memory_hbm,hot_theme,theme_volume,above_ma5,above_ma10,volume_expansion"
overnight,2886,兆豐金,TSE,A,87.5,46.8,49.14,46.1,46800.0,2111.0,918.0,2.3,1.08,-0.11,1.19,0.107,36052,1692128400.0,18,1,20,16,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up,above_ma5"
overnight,2890,永豐金,TSE,A,87.5,41.1,43.16,40.48,41100.0,1858.0,811.0,2.29,0.24,0.0,0.24,0.122,38869,1606616200.0,18,1,20,16,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up,above_ma5"
overnight,2884,玉山金,TSE,A,81.2,34.5,36.23,33.98,34500.0,1561.0,680.0,2.29,0.15,-0.44,0.58,0.145,44116,1522479150.0,18,1,15,16,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up,above_ma5"
overnight,6579,研揚,TSE,B,78.8,179.0,187.95,176.31,179000.0,8072.0,3523.0,2.29,8.81,5.47,3.17,0.279,5054,906859000.0,15,13,20,0,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,2458,義隆,TSE,B,76.2,188.0,197.4,185.18,188000.0,8478.0,3695.0,2.29,5.03,1.4,3.58,0.266,22097,4241150500.0,17,11,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,2881,富邦金,TSE,B,76.2,123.0,129.15,121.16,123000.0,5547.0,2412.0,2.3,1.23,0.0,1.23,0.407,20946,2569024000.0,15,1,16,16,3,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
overnight,8109,博大,OTC,B,75.0,161.5,169.58,159.08,161500.0,7288.0,3171.0,2.3,4.53,4.53,0.0,0.31,5363,859415000.0,15,13,19,0,3,"strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
