mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2885,元大金,TSE,A,100.0,71.5,77.22,69.36,71500.0,5361.0,2469.0,2.17,2.44,1.72,0.7,0.14,27532,1953526500.0,18,9,20,18,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,2890,永豐金,TSE,A,97.5,41.9,45.25,40.64,41900.0,3140.0,1452.0,2.16,1.95,1.7,0.24,0.119,30750,1284990950.0,18,7,20,18,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,5371,中光電,OTC,A,93.8,97.8,105.62,94.87,97800.0,7329.0,3379.0,2.17,6.54,2.61,3.82,0.102,61179,5822460900.0,18,13,20,11,3,"above_open,near_day_high,strong_momentum,theme:panel,theme_breadth,theme_volume,theme_avg_up,short_trend_up"
weekly,2892,第一金,TSE,A,91.2,34.1,36.83,33.08,34100.0,2559.0,1177.0,2.17,2.4,-0.15,2.56,0.293,32341,1091395200.0,17,3,20,18,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,6282,康舒,TSE,A,91.2,59.0,63.72,57.23,59000.0,4424.0,2041.0,2.17,4.98,0.18,4.8,0.169,26581,1541527900.0,18,9,19,14,3,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_holds_open,theme_volume,short_trend_up"
weekly,2881,富邦金,TSE,A,86.2,126.0,136.08,122.22,126000.0,9448.0,4359.0,2.17,2.44,0.81,1.61,0.397,25863,3221350000.0,17,7,12,18,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,2884,玉山金,TSE,A,86.2,34.75,37.53,33.71,34750.0,2606.0,1200.0,2.17,0.72,0.29,0.43,0.144,42953,1489401300.0,18,2,16,18,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up,five_day_price_up"
weekly,3605,宏致,TSE,A,82.5,90.8,98.06,88.08,90800.0,6804.0,3137.0,2.17,6.95,5.42,1.45,0.11,15726,1420157500.0,18,13,20,0,5,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2630,亞航,TSE,A,81.2,55.9,60.37,54.22,55900.0,4189.0,1937.0,2.16,3.9,3.16,0.72,0.179,13319,738654700.0,18,12,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2882,國泰金,TSE,A,81.2,98.0,105.84,95.06,98000.0,7348.0,3390.0,2.17,1.03,0.0,1.03,0.102,31095,3010252300.0,18,1,13,18,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,2484,希華,TSE,A,80.0,92.3,99.68,89.53,92300.0,6917.0,3194.0,2.17,5.97,3.33,2.56,0.108,66759,6250688100.0,18,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2441,超豐,TSE,B,77.5,138.0,149.04,133.86,138000.0,10347.0,4774.0,2.17,3.37,2.25,1.1,0.362,7151,971751500.0,15,12,20,0,5,"above_open,near_day_high,ma_alignment,five_day_volume_up,above_ma20"
weekly,2887,台新新光金,TSE,B,77.5,35.85,38.72,34.77,35850.0,2690.0,1245.0,2.16,2.72,1.58,1.13,0.139,76733,2736904350.0,18,9,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,3022,威強電,TSE,B,77.5,94.3,101.84,91.47,94300.0,7067.0,3263.0,2.17,7.65,5.02,2.5,0.106,8023,746187900.0,16,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,6505,台塑化,TSE,B,77.5,59.4,64.15,57.62,59400.0,4452.0,2053.0,2.17,2.41,1.21,1.19,0.168,13156,784083000.0,18,9,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,6753,龍德造船,TSE,B,76.2,154.0,166.32,149.38,154000.0,11547.0,5328.0,2.17,4.76,3.4,1.32,0.325,6879,1058204000.0,15,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,1326,台化,TSE,B,75.0,64.7,69.88,62.76,64700.0,4855.0,2237.0,2.17,2.21,0.79,1.41,0.155,73826,4786335000.0,18,7,20,0,5,"above_open,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2369,菱生,TSE,B,75.0,42.7,46.12,41.42,42700.0,3206.0,1476.0,2.17,2.77,1.44,1.3,0.117,49983,2141811200.0,18,9,20,0,3,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,2377,微星,TSE,B,75.0,142.0,153.36,137.74,142000.0,10647.0,4912.0,2.17,3.65,1.09,2.53,0.352,23081,3318695500.0,17,10,20,0,3,"above_open,short_trend_up,ma_alignment,above_ma20"
weekly,2603,長榮,TSE,B,75.0,196.0,211.68,190.12,196000.0,14696.0,6780.0,2.17,4.26,1.06,3.16,0.255,15798,3065617500.0,17,11,17,0,5,"above_open,near_day_high,strong_momentum,short_trend_up,five_day_price_up"
weekly,2609,陽明,TSE,B,75.0,52.3,56.48,50.73,52300.0,3918.0,1810.0,2.16,2.35,0.2,2.15,0.191,14692,762785600.0,18,7,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,8104,錸寶,TSE,B,75.0,41.75,45.09,40.5,41750.0,3130.0,1442.0,2.17,4.24,1.87,2.33,0.12,8338,346225600.0,14,11,20,0,5,"above_open,strong_momentum,short_trend_up,five_day_price_up,five_day_volume_up,above_ma20"
weekly,5425,台半,OTC,B,75.0,136.0,146.88,131.92,136000.0,10197.0,4705.0,2.17,3.82,2.67,1.12,0.368,6931,917706000.0,15,12,20,0,3,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6174,安碁,OTC,B,75.0,61.2,66.1,59.36,61200.0,4593.0,2121.0,2.17,5.7,1.21,4.44,0.163,8575,524478700.0,16,11,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2061,風青,OTC,B,73.8,83.0,89.64,80.51,83000.0,6223.0,2871.0,2.17,3.75,3.38,0.36,0.12,5568,445577500.0,14,12,20,0,3,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,8234,新漢,OTC,B,73.8,72.5,78.3,70.33,72500.0,5436.0,2503.0,2.17,6.93,5.9,0.97,0.276,4854,355773000.0,11,13,20,0,5,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_volume_up,above_ma20"
weekly,2615,萬海,TSE,B,72.5,79.4,85.75,77.02,79400.0,5952.0,2745.0,2.17,3.12,1.3,1.79,0.126,6560,516422800.0,16,10,17,0,5,"above_open,near_day_high,five_day_price_up,five_day_volume_up"
weekly,2880,華南金,TSE,B,72.5,39.7,42.88,38.51,39700.0,2981.0,1372.0,2.17,1.93,0.39,1.53,0.126,15922,626578950.0,18,5,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6202,盛群,TSE,B,72.5,68.0,73.44,65.96,68000.0,5099.0,2352.0,2.17,4.94,0.15,4.78,0.147,5132,344860600.0,14,9,20,0,5,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,above_ma20"
weekly,3078,僑威,OTC,B,71.2,59.5,64.26,57.71,59500.0,4461.0,2063.0,2.16,2.23,3.09,-0.83,0.168,6403,379938800.0,14,8,20,0,5,"short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,8050,廣積,OTC,B,71.2,59.8,64.58,58.01,59800.0,4480.0,2065.0,2.17,3.82,1.22,2.57,0.167,2706,159869800.0,12,10,20,0,5,"above_open,near_day_high,short_trend_up,five_day_price_up,five_day_volume_up,above_ma20"
weekly,4938,和碩,TSE,B,70.0,83.8,90.5,81.29,83800.0,6279.0,2895.0,2.17,1.82,1.7,0.12,0.119,8400,699473100.0,16,7,18,0,5,"above_open,near_day_high,short_trend_up,five_day_price_up"
weekly,5471,松翰,TSE,B,70.0,62.9,67.93,61.01,62900.0,4714.0,2179.0,2.16,2.95,1.31,1.62,0.159,3203,199489300.0,12,9,20,0,5,"above_open,near_day_high,short_trend_up,ma_alignment,above_ma20"
weekly,6416,瑞祺電通,TSE,B,70.0,97.2,104.98,94.28,97200.0,7292.0,3367.0,2.17,6.81,1.98,4.74,0.103,4358,409630800.0,12,11,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,3317,尼克森,OTC,B,70.0,99.0,106.92,96.03,99000.0,7423.0,3425.0,2.17,2.17,0.31,1.85,0.101,6778,655324000.0,16,7,20,0,3,"above_open,near_day_high,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
