watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_strong,6,6282,康舒,TSE,"pre_breakout,pre_breakout_watch,stable,daytrade,overnight,weekly","A,A,A,A,A,A",95.8,89.1,59.7,61.19,59.34,1295.0,2.17,1.19,17618,"above_ma5,above_open,hot_theme,near_day_high,open_above_ma5,short_trend_up,stable_short_trend,theme:hot_ai_power_energy,theme_breadth,theme_holds_open"
core_watch_with_breakout,5,5388,中磊,TSE,"pre_breakout_watch,stable,daytrade,overnight,weekly","B,B,B,B,B",91.1,87.0,85.5,87.64,84.99,1861.0,2.17,2.89,4425,"above_open,hot_theme,theme:hot_networking_optical,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_with_breakout,4,2356,英業達,TSE,"stable,daytrade,overnight,weekly","B,A,A,A",80.1,71.7,69.2,70.93,68.78,1504.0,2.17,4.53,99798,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,short_trend_up,stable_10d_up_not_hot,stable_20d_up,stable_near_ma20"
core_watch_with_breakout,4,2377,微星,TSE,"pre_breakout,daytrade,overnight,weekly","B,B,B,B",74.5,71.6,145.0,148.62,144.13,3146.0,2.17,2.11,12599,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,holds_open,kd_confirmed,ma5_gt_ma10,ma_alignment,near_prev_high_setup"
core_watch_strong,3,3481,群創,TSE,"daytrade,overnight,weekly","A,A,A",97.1,95.0,66.6,68.26,66.2,1442.0,2.17,2.15,196185,"above_open,near_day_high,theme:panel,theme_avg_up,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_strong,3,2337,旺宏,TSE,"daytrade,overnight,weekly","A,A,A",96.3,93.8,145.5,149.14,144.63,3164.0,2.17,5.05,37390,"above_open,hot_theme,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_strong,3,2344,華邦電,TSE,"daytrade,overnight,weekly","A,A,A",96.3,90.0,182.0,186.55,180.91,3955.0,2.17,8.01,103538,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers"
core_watch,3,2464,盟立,TSE,"daytrade,overnight,weekly","B,B,B",78.4,73.8,163.0,167.07,162.02,3537.0,2.17,2.19,3417,"above_open,hot_theme,theme:hot_robotics_automation,theme_breadth,theme_mild_up,theme_volume"
core_watch,3,2887,台新新光金,TSE,"daytrade,overnight,weekly","B,B,B",77.7,77.5,36.75,37.67,36.53,800.0,2.17,2.51,50027,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
core_watch,3,2495,普安,TSE,"daytrade,overnight,weekly","B,B,B",73.8,72.6,55.2,56.58,54.87,1200.0,2.17,7.81,12166,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,ma5_gt_ma10,near_day_high,short_trend_up,strong_momentum"
