mode,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount,ts,exclude_reasons
pre_breakout,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,not_enough_history
pre_breakout_watch,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,not_enough_history
stable,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,not_enough_history
daytrade,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,net_profit_below_min
overnight,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,net_profit_below_min
weekly,1101,台泥,TSE,DayTrade.Yes,01,23.1,25.4,20.8,23.15,23.2,22.7,22.7,22.7,22.75,39255,897656250.0,2026-07-11T11:02:03,net_profit_below_min
pre_breakout,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,not_enough_history
pre_breakout_watch,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,not_enough_history
stable,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,not_enough_history
daytrade,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,net_profit_below_min
overnight,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,score_below_b
weekly,1102,亞泥,TSE,DayTrade.Yes,01,35.8,39.35,32.25,35.95,36.1,35.55,35.7,35.7,35.75,12276,439681050.0,2026-07-11T11:02:03,score_below_b
pre_breakout,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout_watch,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
stable,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
daytrade,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min,rr_below_min"
overnight,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
weekly,1103,嘉泥,TSE,DayTrade.Yes,01,13.45,14.75,12.15,13.65,13.65,13.4,13.4,13.4,13.45,361,4850450.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,volume_too_low
pre_breakout_watch,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,volume_too_low
stable,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,volume_too_low
daytrade,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
overnight,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
weekly,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.25,27.4,27.05,27.1,27.1,27.2,634,17248150.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,net_profit_below_min
pre_breakout_watch,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,net_profit_below_min
stable,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,net_profit_below_min
daytrade,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,"net_profit_below_min,rr_below_min"
overnight,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,net_profit_below_min
weekly,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.8,13.8,13.65,13.65,13.65,13.7,1443,19748600.0,2026-07-11T11:02:03,net_profit_below_min
pre_breakout,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout_watch,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
stable,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
daytrade,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
overnight,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
weekly,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.7,14.75,14.65,14.7,14.65,14.7,54,792500.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout_watch,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
stable,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
daytrade,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,not_day_trade
overnight,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
weekly,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.65,17.2,14.1,15.85,16.0,15.6,15.6,15.6,15.65,118,1852850.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min"
pre_breakout_watch,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min"
stable,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min"
daytrade,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min,rr_below_min"
overnight,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min"
weekly,1201,味全,TSE,DayTrade.Yes,02,12.5,13.75,11.25,12.5,12.55,12.4,12.45,12.45,12.55,326,4060500.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide,net_profit_below_min"
pre_breakout,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
pre_breakout_watch,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
stable,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
daytrade,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
overnight,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
weekly,1203,味王,TSE,DayTrade.Yes,02,43.4,47.7,39.1,42.6,43.6,42.6,43.15,42.75,43.15,21,902150.0,2026-07-11T11:02:03,"volume_too_low,spread_too_wide"
pre_breakout,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,not_enough_history
pre_breakout_watch,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,not_enough_history
stable,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,not_enough_history
daytrade,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,score_below_b
overnight,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,score_below_b
weekly,1210,大成,TSE,DayTrade.Yes,02,56.9,62.5,51.3,56.7,57.5,56.7,57.0,57.0,57.1,1923,109847000.0,2026-07-11T11:02:03,score_below_b
pre_breakout,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
pre_breakout_watch,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min"
stable,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min,rr_below_min"
daytrade,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,not_day_trade
overnight,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min,rr_below_min"
weekly,1213,大飲,TSE,DayTrade.No,02,7.6,8.36,6.84,7.39,7.55,7.39,7.53,7.5,7.54,10,74870.0,2026-07-11T11:02:03,"volume_too_low,net_profit_below_min,rr_below_min"
pre_breakout,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,not_enough_history
pre_breakout_watch,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,not_enough_history
stable,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,not_enough_history
daytrade,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,score_below_b
overnight,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,score_below_b
weekly,1215,卜蜂,TSE,DayTrade.Yes,02,111.5,122.5,100.5,111.0,113.0,110.5,112.0,112.0,112.5,1304,146194500.0,2026-07-11T11:02:03,score_below_b
