mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
daytrade,2464,盟立,TSE,A,100.0,166.0,170.15,165.0,166000.0,3607.0,1531.0,2.36,2.79,1.86,0.91,0.301,13764,2326769000.0,17,9,7,22,3,"above_open,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
daytrade,2881,富邦金,TSE,A,86.3,127.0,130.17,126.24,127000.0,2755.0,1166.0,2.36,2.01,0.8,1.2,0.394,24182,3058259500.0,17,7,9,10,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume"
daytrade,8112,至上,TSE,A,80.8,87.5,89.69,86.97,87500.0,1904.0,810.0,2.35,2.94,2.12,0.81,0.114,15081,1322674700.0,18,11,10,0,5,above_open
daytrade,3149,正達,TSE,B,79.5,92.3,94.61,91.75,92300.0,2008.0,845.0,2.38,3.13,1.68,1.43,0.108,15816,1471501600.0,18,10,10,0,5,above_open
daytrade,2618,長榮航,TSE,B,78.1,40.75,41.77,40.51,40750.0,887.0,370.0,2.4,2.9,1.01,1.88,0.123,92158,3737262500.0,18,9,10,0,5,above_open
daytrade,2886,兆豐金,TSE,B,78.1,47.0,48.17,46.72,47000.0,1016.0,430.0,2.36,0.64,0.0,0.64,0.106,26732,1256845300.0,18,1,8,10,5,"above_open,theme:finance,theme_breadth,theme_holds_open,theme_volume"
daytrade,6505,台塑化,TSE,B,78.1,63.1,64.68,62.72,63100.0,1374.0,582.0,2.36,7.31,2.89,4.3,0.158,33174,2095462600.0,18,13,8,0,3,"above_open,strong_momentum"
daytrade,5371,中光電,OTC,B,78.1,95.3,97.68,94.73,95300.0,2068.0,875.0,2.37,2.25,0.97,1.28,0.105,48286,4714279100.0,18,7,8,6,3,"above_open,theme:panel,theme_holds_open,theme_volume"
daytrade,1504,東元,TSE,B,76.7,66.5,68.16,66.1,66500.0,1443.0,613.0,2.36,-1.48,1.48,-2.92,0.15,10041,671060300.0,18,3,3,22,5,"theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_mild_up"
daytrade,5876,上海商銀,TSE,B,76.7,44.15,45.25,43.89,44150.0,956.0,401.0,2.38,3.15,0.93,2.2,0.113,25858,1136314950.0,18,8,10,0,5,"above_open,near_day_high"
daytrade,1536,和大,TSE,B,75.3,56.1,57.5,55.76,56100.0,1217.0,519.0,2.34,2.0,0.73,1.26,0.178,13201,740633400.0,18,7,10,0,5,above_open
daytrade,4904,遠傳,TSE,B,75.3,96.1,98.5,95.52,96100.0,2086.0,887.0,2.35,1.16,1.05,0.1,0.104,19517,1881101500.0,18,7,10,0,5,above_open
daytrade,4916,事欣科,TSE,B,75.3,118.0,120.95,117.29,118000.0,2564.0,1087.0,2.36,9.26,4.17,4.89,0.424,21312,2478092000.0,15,13,9,0,3,"above_open,near_day_high,strong_momentum"
daytrade,3362,先進光,OTC,B,75.3,188.5,193.21,187.37,188500.0,4094.0,1732.0,2.36,4.72,4.17,0.53,0.265,12037,2328008000.0,17,13,7,0,3,"above_open,strong_momentum"
daytrade,2377,微星,TSE,B,74.0,149.5,153.24,148.6,149500.0,3251.0,1378.0,2.36,3.1,0.69,2.4,0.334,29486,4395358000.0,17,8,9,0,5,above_open
daytrade,3694,海華,TSE,B,74.0,67.6,69.29,67.19,67600.0,1469.0,626.0,2.35,4.0,1.23,2.74,0.148,5426,359083100.0,14,10,10,0,5,"above_open,near_day_high"
daytrade,1609,大亞,TSE,B,72.6,40.1,41.1,39.86,40100.0,869.0,368.0,2.36,2.56,1.28,1.26,0.125,9215,366514950.0,14,9,10,0,5,above_open
daytrade,2630,亞航,TSE,B,72.6,56.7,58.12,56.36,56700.0,1235.0,521.0,2.37,5.19,0.56,4.61,0.176,14083,795054000.0,18,9,8,0,3,"above_open,strong_momentum"
daytrade,3019,亞光,TSE,B,72.6,147.5,151.19,146.62,147500.0,3208.0,1351.0,2.37,2.79,1.74,1.03,0.339,6266,938248000.0,15,9,9,0,5,above_open
daytrade,6177,達麗,TSE,B,72.6,46.1,47.25,45.82,46100.0,999.0,427.0,2.34,1.77,1.32,0.44,0.108,1392,64218000.0,8,7,8,10,5,"above_open,theme:construction,theme_breadth,theme_holds_open,theme_volume"
daytrade,6209,今國光,TSE,B,72.6,82.8,84.87,82.3,82800.0,1799.0,765.0,2.35,2.48,0.37,2.1,0.121,9564,791562600.0,16,7,10,0,5,above_open
daytrade,6282,康舒,TSE,B,71.2,58.0,59.45,57.65,58000.0,1260.0,535.0,2.35,0.69,1.91,-1.19,0.172,35587,2099576500.0,18,4,4,18,3,"theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_holds_open,theme_volume"
