mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
overnight,2359,所羅門,TSE,A,100.0,151.5,159.08,149.23,151500.0,6837.0,2975.0,2.3,9.78,2.9,6.69,0.33,9819,1473761000.0,15,13,20,22,3,"above_open,near_day_high,strong_momentum,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
overnight,8222,寶一,TSE,B,92.5,41.75,43.84,41.12,41750.0,1885.0,824.0,2.29,4.38,1.62,2.71,0.24,1457,60908950.0,7,11,19,22,5,"above_open,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
overnight,2464,盟立,TSE,A,88.8,167.0,175.35,164.5,167000.0,7531.0,3277.0,2.3,3.41,1.86,1.52,0.299,7933,1351986500.0,15,10,11,22,3,"above_open,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
overnight,3704,合勤控,TSE,A,81.2,49.7,52.19,48.95,49700.0,2246.0,981.0,2.29,9.59,5.84,3.54,0.302,10270,510072300.0,17,13,20,0,5,"above_open,near_day_high,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion,daily_close_near_high"
overnight,3033,威健,TSE,A,80.0,51.8,54.39,51.02,51800.0,2336.0,1021.0,2.29,4.44,3.43,0.97,0.193,17629,934518100.0,18,13,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,6505,台塑化,TSE,A,80.0,63.0,66.15,62.05,63000.0,2841.0,1243.0,2.29,7.14,2.89,4.13,0.159,19214,1209075300.0,18,13,20,0,3,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10,volume_expansion"
overnight,5371,中光電,OTC,A,80.0,99.1,104.05,97.61,99100.0,4464.0,1951.0,2.29,6.33,0.97,5.31,0.202,29722,2911866800.0,17,9,20,5,3,"above_open,near_day_high,strong_momentum,theme:panel,theme_volume,theme_mild_up,above_ma5,above_ma10"
overnight,5351,鈺創,OTC,B,78.8,102.0,107.1,100.47,102000.0,4600.0,2005.0,2.29,3.87,4.89,-0.97,0.49,42269,4288428300.0,15,9,15,11,3,"theme:hot_memory_hbm,hot_theme,theme_volume,above_ma5,above_ma10,ma5_gt_ma10"
overnight,3016,嘉晶,TSE,B,77.5,133.0,139.65,131.0,133000.0,5998.0,2619.0,2.29,9.47,9.47,0.0,0.376,12957,1726740000.0,17,13,17,0,5,"near_day_high,strong_momentum,above_ma5,above_ma10,daily_close_near_high"
overnight,3707,漢磊,OTC,B,76.2,86.5,90.83,85.2,86500.0,3906.0,1702.0,2.29,8.81,8.43,0.35,0.347,19650,1710910600.0,17,13,16,0,5,"above_open,strong_momentum,above_ma5,above_ma10"
overnight,2886,兆豐金,TSE,B,75.0,47.05,49.4,46.34,47050.0,2119.0,929.0,2.28,0.75,0.0,0.75,0.106,6231,292075500.0,14,1,20,10,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume,above_ma5,above_ma10"
overnight,2890,永豐金,TSE,B,73.8,40.55,42.58,39.94,40550.0,1831.0,799.0,2.29,0.25,3.21,-2.87,0.123,10103,415077450.0,16,6,12,10,5,"theme:finance,theme_breadth,theme_holds_open,theme_volume,above_ma10,ma5_gt_ma10"
overnight,2630,亞航,TSE,B,72.5,56.3,59.12,55.46,56300.0,2544.0,1102.0,2.31,4.45,0.56,3.87,0.178,5992,336960300.0,14,9,20,0,5,"above_open,strong_momentum,above_ma5,above_ma10,ma5_gt_ma10"
overnight,3149,正達,TSE,B,72.5,92.5,97.12,91.11,92500.0,4167.0,1820.0,2.29,3.35,1.68,1.65,0.108,7856,733319300.0,16,10,17,0,5,"above_open,above_ma5,above_ma10"
