mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
weekly,2359,所羅門,TSE,A,100.0,151.5,163.62,146.95,151500.0,11360.0,5246.0,2.17,9.78,2.9,6.69,0.33,9819,1473761000.0,15,13,20,22,3,"above_open,near_day_high,strong_momentum,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
weekly,8222,寶一,TSE,B,93.8,41.75,45.09,40.5,41750.0,3130.0,1442.0,2.17,4.38,1.62,2.71,0.24,1457,60908950.0,7,11,20,22,5,"above_open,theme:hot_defense_drone,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,5351,鈺創,OTC,A,85.0,102.0,110.16,98.94,102000.0,7648.0,3529.0,2.17,3.87,4.89,-0.97,0.49,42269,4288428300.0,15,9,20,11,3,"theme:hot_memory_hbm,hot_theme,theme_volume,short_trend_up,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2464,盟立,TSE,A,83.8,167.0,180.36,161.99,167000.0,12522.0,5777.0,2.17,3.41,1.86,1.52,0.299,7933,1351986500.0,15,10,7,22,3,"above_open,theme:hot_robotics_automation,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
weekly,3704,合勤控,TSE,A,81.2,49.7,53.68,48.21,49700.0,3731.0,1718.0,2.17,9.59,5.84,3.54,0.302,10270,510072300.0,17,13,20,0,5,"above_open,near_day_high,strong_momentum,short_trend_up,five_day_price_up,above_ma20"
weekly,3033,威健,TSE,A,80.0,51.8,55.94,50.25,51800.0,3880.0,1788.0,2.17,4.44,3.43,0.97,0.193,17629,934518100.0,18,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6505,台塑化,TSE,A,80.0,63.0,68.04,61.11,63000.0,4724.0,2179.0,2.17,7.14,2.89,4.13,0.159,19214,1209075300.0,18,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,5371,中光電,OTC,A,80.0,99.1,107.03,96.13,99100.0,7433.0,3425.0,2.17,6.33,0.97,5.31,0.202,29722,2911866800.0,17,9,20,5,3,"above_open,near_day_high,strong_momentum,theme:panel,theme_volume,theme_mild_up,short_trend_up,ma_alignment"
weekly,2885,元大金,TSE,B,77.5,68.7,74.2,66.64,68700.0,5155.0,2376.0,2.17,0.59,2.64,-2.0,0.146,6488,450676700.0,14,6,17,10,5,"theme:finance,theme_breadth,theme_holds_open,theme_volume,ma_alignment,five_day_price_up,above_ma20"
weekly,6182,合晶,OTC,B,77.5,187.5,202.5,181.88,187500.0,14059.0,6481.0,2.17,8.7,9.86,-1.06,0.267,53882,10170813500.0,17,10,20,0,5,"strong_momentum,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,2890,永豐金,TSE,B,76.2,40.55,43.79,39.33,40550.0,3037.0,1406.0,2.16,0.25,3.21,-2.87,0.123,10103,415077450.0,16,6,14,10,5,"theme:finance,theme_breadth,theme_holds_open,theme_volume,ma_alignment,above_ma20"
weekly,2886,兆豐金,TSE,B,75.0,47.05,50.81,45.64,47050.0,3524.0,1626.0,2.17,0.75,0.0,0.75,0.106,6231,292075500.0,14,1,20,10,5,"above_open,near_day_high,theme:finance,theme_breadth,theme_holds_open,theme_volume,short_trend_up,ma_alignment"
weekly,3707,漢磊,OTC,B,75.0,86.5,93.42,83.91,86500.0,6486.0,2987.0,2.17,8.81,8.43,0.35,0.347,19650,1710910600.0,17,13,15,0,5,"above_open,strong_momentum,five_day_price_up,above_ma20"
weekly,4916,事欣科,TSE,B,73.8,115.0,124.2,111.55,115000.0,8623.0,3978.0,2.17,6.48,4.17,2.22,0.435,7196,827276000.0,13,13,20,0,3,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,2630,亞航,TSE,B,72.5,56.3,60.8,54.61,56300.0,4217.0,1949.0,2.16,4.45,0.56,3.87,0.178,5992,336960300.0,14,9,20,0,5,"above_open,strong_momentum,short_trend_up,ma_alignment,five_day_volume_up,above_ma20"
weekly,3016,嘉晶,TSE,B,72.5,133.0,143.64,129.01,133000.0,9973.0,4601.0,2.17,9.47,9.47,0.0,0.376,12957,1726740000.0,17,13,13,0,5,"near_day_high,strong_momentum,five_day_price_up,above_ma20"
weekly,3149,正達,TSE,B,71.2,92.5,99.9,89.72,92500.0,6936.0,3205.0,2.16,3.35,1.68,1.65,0.108,7856,733319300.0,16,10,16,0,5,"above_open,five_day_price_up,above_ma20"
weekly,7714,創泓科技,OTC,B,71.2,183.0,197.64,177.51,183000.0,13722.0,6331.0,2.17,6.09,4.64,1.39,0.273,2019,365665500.0,11,13,20,0,3,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
weekly,1326,台化,TSE,B,70.0,65.2,70.42,63.24,65200.0,4893.0,2260.0,2.17,8.67,0.0,8.67,0.153,56401,3635574500.0,18,5,20,0,3,"above_open,near_day_high,strong_momentum,short_trend_up,ma_alignment,five_day_volume_up,above_ma20"
weekly,3005,神基,TSE,B,70.0,115.5,124.74,112.03,115500.0,8660.0,4001.0,2.16,3.12,1.79,1.32,0.433,5532,636981000.0,13,10,20,0,3,"above_open,short_trend_up,ma_alignment,five_day_price_up,above_ma20"
weekly,6477,安集,TSE,B,70.0,40.85,44.12,39.62,40850.0,3065.0,1418.0,2.16,3.42,0.89,2.51,0.245,6787,275818400.0,13,8,20,0,5,"above_open,short_trend_up,ma_alignment,five_day_price_up,five_day_volume_up,above_ma20"
