mode,code,name,exchange,level,score,entry_price,target_price,stop_price,lot_amount,net_profit_at_target,loss_at_stop,rr_ratio,return_pct,gap_pct,fade_pct,spread_pct,volume,total_amount,liquidity_score,momentum_score,technical_score,theme_score,risk_score,reasons
daytrade,1504,東元,TSE,A,100.0,69.0,70.72,68.59,69000.0,1494.0,631.0,2.37,8.49,4.4,3.92,0.145,19252,1315904100.0,18,13,10,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,2337,旺宏,TSE,A,100.0,148.5,152.21,147.61,148500.0,3225.0,1365.0,2.36,6.45,3.58,2.77,0.337,109080,16142760000.0,17,13,9,22,5,"above_open,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
daytrade,2344,華邦電,TSE,A,100.0,180.5,185.01,179.42,180500.0,3920.0,1657.0,2.37,9.73,6.69,2.85,999,93883,16859225000.0,15,13,9,22,3,"above_open,near_day_high,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,3481,群創,TSE,A,100.0,58.5,59.96,58.15,58500.0,1269.0,537.0,2.36,2.27,2.1,0.17,0.171,263884,15407548300.0,18,11,10,18,5,"above_open,theme:panel,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
daytrade,5388,中磊,TSE,A,100.0,89.4,91.63,88.86,89400.0,1938.0,826.0,2.35,4.32,0.93,3.35,0.112,13075,1170149900.0,18,9,10,22,5,"above_open,strong_momentum,theme:hot_networking_optical,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
daytrade,6282,康舒,TSE,A,100.0,56.2,57.6,55.86,56200.0,1216.0,520.0,2.34,2.55,1.64,0.9,0.178,15516,874749900.0,18,9,10,22,5,"above_open,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume,theme_avg_up"
daytrade,4906,正文,TSE,B,98.6,38.8,39.77,38.57,38800.0,843.0,354.0,2.38,3.19,0.93,2.24,0.129,3992,153078400.0,12,8,10,22,5,"above_open,near_day_high,theme:hot_networking_optical,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
daytrade,1513,中興電,TSE,A,97.3,171.0,175.27,169.97,171000.0,3711.0,1576.0,2.35,4.27,-0.3,4.59,0.292,5184,869708000.0,15,5,9,22,5,"above_open,near_day_high,strong_momentum,theme:hot_ai_power_energy,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,5351,鈺創,OTC,A,97.3,104.5,107.11,103.87,104500.0,2268.0,964.0,2.35,9.77,1.37,8.29,999,34558,3578185800.0,15,11,7,22,1,"above_open,near_day_high,strong_momentum,theme:hot_memory_hbm,hot_theme,theme_breadth,theme_strong_peers,theme_holds_open"
daytrade,2881,富邦金,TSE,A,94.5,128.5,131.71,127.73,128500.0,2790.0,1181.0,2.36,2.8,1.2,1.58,0.389,27227,3493219500.0,17,9,9,14,5,"above_open,theme:finance,theme_breadth,theme_strong_peers,theme_holds_open,theme_volume"
