watch_level,mode_count,code,name,exchange,modes,levels,avg_score,min_score,entry_price,nearest_target_price,nearest_stop_price,min_net_profit,min_rr_ratio,return_pct,volume,reasons
core_watch_with_breakout,5,5388,中磊,TSE,"pre_breakout_watch,stable,daytrade,overnight,weekly","B,B,B,B,B",93.7,89.1,89.4,91.63,88.86,1938.0,2.17,4.32,4046,"above_open,hot_theme,strong_momentum,theme:hot_networking_optical,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_with_breakout,5,2881,富邦金,TSE,"pre_breakout,pre_breakout_watch,daytrade,overnight,weekly","B,B,B,B,B",87.3,83.0,128.0,131.2,127.23,2782.0,2.17,2.4,3219,"above_ma5,above_open,open_above_ma5,short_trend_up,theme:finance,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch_with_breakout,5,2882,國泰金,TSE,"pre_breakout,pre_breakout_watch,daytrade,overnight,weekly","B,B,B,B,B",82.1,76.2,97.9,100.35,97.31,2130.0,2.16,1.87,4201,"above_ma5,above_open,open_above_ma5,short_trend_up,theme:finance,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch_strong,3,2337,旺宏,TSE,"daytrade,overnight,weekly","A,A,A",99.6,98.8,147.5,151.19,146.62,3208.0,2.17,5.73,23470,"above_open,hot_theme,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch_strong,3,2344,華邦電,TSE,"daytrade,overnight,weekly","A,A,A",99.6,98.8,180.0,184.5,178.92,3912.0,2.17,9.42,62286,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers"
core_watch_strong,3,5351,鈺創,OTC,"daytrade,overnight,weekly","A,A,A",98.3,97.3,104.0,106.6,103.38,2260.0,2.17,9.24,16981,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_memory_hbm,theme_breadth,theme_holds_open,theme_strong_peers"
core_watch_strong,3,1504,東元,TSE,"daytrade,overnight,weekly","A,A,A",97.5,92.5,68.2,69.91,67.79,1487.0,2.17,7.23,5917,"above_open,hot_theme,near_day_high,strong_momentum,theme:hot_ai_power_energy,theme_breadth,theme_holds_open,theme_strong_peers"
core_watch_strong,3,1605,華新,TSE,"pre_breakout_watch,overnight,weekly","A,A,A",94.8,93.8,34.85,36.59,34.33,1569.0,2.16,4.81,7153,"above_open,hot_theme,strong_momentum,theme:hot_ai_power_energy,theme_breadth,theme_holds_open,theme_strong_peers,theme_volume"
core_watch,3,1326,台化,TSE,"daytrade,overnight,weekly","B,B,B",76.8,75.3,70.5,72.26,70.08,1530.0,2.17,5.22,21912,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
core_watch,3,6282,康舒,TSE,"daytrade,overnight,weekly","B,B,B",75.1,75.0,55.7,57.09,55.37,1208.0,2.17,1.64,2496,"hot_theme,theme:hot_ai_power_energy,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch,3,6505,台塑化,TSE,"daytrade,overnight,weekly","B,B,B",73.9,73.8,68.4,70.11,67.99,1486.0,2.17,3.32,7529,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up"
core_watch,3,2884,玉山金,TSE,"pre_breakout_watch,overnight,weekly","B,B,B",73.4,70.0,34.75,36.49,34.23,1570.0,2.17,0.72,3801,"above_ma5,above_open,open_above_ma10,short_trend_up,theme:finance,theme_breadth,theme_holds_open,theme_mild_up,theme_strong_peers,theme_volume"
core_watch,3,1301,台塑,TSE,"daytrade,overnight,weekly","B,B,B",72.5,72.5,64.8,66.42,64.41,1408.0,2.17,1.89,32121,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
priority_watch,2,8112,至上,TSE,"daytrade,overnight","B,B",75.2,75.0,89.9,92.15,89.36,1956.0,2.3,5.27,6245,"above_ma10,above_ma5,above_open,daily_close_near_high,near_day_high,strong_momentum"
priority_watch,2,2887,台新新光金,TSE,"overnight,weekly","B,B",75.0,75.0,36.15,37.96,35.61,1633.0,2.17,1.97,13891,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
priority_watch,2,3033,威健,TSE,"overnight,weekly","B,B",71.2,71.2,54.4,57.12,53.58,2453.0,2.17,7.51,6288,"above_ma10,above_ma20,above_ma5,above_open,daily_close_near_high,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,near_day_high"
priority_watch,2,8131,福懋科,TSE,"overnight,weekly","B,B",70.0,70.0,77.3,81.17,76.14,3491.0,2.17,4.6,1455,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,ma5_gt_ma10,ma_alignment,short_trend_up"
priority_watch,2,8050,廣積,OTC,"overnight,weekly","B,B",70.0,70.0,62.6,65.73,61.66,2823.0,2.17,4.33,1227,"above_ma10,above_ma20,above_ma5,above_open,five_day_price_up,five_day_volume_up,ma5_gt_ma10,ma_alignment,short_trend_up"
